Date,Description,Card Member,Account #,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
01/15/2025,Platinum Membership Credit,SAMPLE MEMBER,-99999,-8.50,"MEMBERSHIP BENEFIT Platinum Membership Credit",Platinum Membership Credit,,,,,'987654321098765401',Fees & Adjustments
01/18/2025,TST* CAFE BISTRO 9876BOSTON          MA,SAMPLE MEMBER,-99999,33.90,"98765432101 617-555-3000 TST* CAFE BISTRO 9876 BOSTON MA 617-555-3000",TST* CAFE BISTRO 9876BOSTON          MA,"789 MARKET ST STE 200","BOSTON MA",02108,UNITED STATES,'987654321098765402',Restaurant
01/22/2025,FINE DINING PLACE BOSTON MA,SAMPLE MEMBER,-99999,70.30,"98765432102 617-555-3100 FINE DINING PLACE BOSTON MA 617-555-3100",FINE DINING PLACE BOSTON MA,"321 HARBOR AVE","BOSTON MA",02210,UNITED STATES,'987654321098765403',Restaurant
01/25/2025,ONLINESTORE.COM*XY9Z8W7 ONLINE.COMWA,SAMPLE MEMBER,-99999,187.70,"98765432103 ONLINESTORE.COM*XY9Z8W7 ONLINE.COM WA",ONLINESTORE.COM*XY9Z8W7 ONLINE.COMWA,,,98001,UNITED STATES,'987654321098765404',Merchandise & Supplies
01/28/2025,TECHRETAIL.COM 866-555-4000 MN,SAMPLE MEMBER,-99999,454.10,"98765432104 866-555-4000 TECHRETAIL.COM 866-555-4000 MN 866-555-4000",TECHRETAIL.COM 866-555-4000 MN,,,55102,UNITED STATES,'987654321098765405',Electronics & Office Equip
02/02/2025,FUEL CENTER 87654321BOSTON          MA,SAMPLE MEMBER,-99999,55.10,"98765432105 FUEL CENTER 87654321 BOSTON MA",FUEL CENTER 87654321BOSTON          MA,"456 MAIN HWY","BOSTON MA",02108,UNITED STATES,'987654321098765406',Automotive-Gas
02/05/2025,NATIONAL CARRIER 009876543,SAMPLE MEMBER,-99999,580.30,"98765432106 800-555-4100 NATIONAL CARRIER 009876543 800-555-4100",NATIONAL CARRIER 009876543,,,75001,UNITED STATES,'987654321098765407',Travel-Airlines
02/08/2025,GRAND HOTEL BOSTON 617-555-4200MA,SAMPLE MEMBER,-99999,308.60,"98765432107 617-555-4200 GRAND HOTEL BOSTON 617-555-4200 MA 617-555-4200",GRAND HOTEL BOSTON 617-555-4200MA,"567 PARK PLAZA","BOSTON MA",02108,UNITED STATES,'987654321098765408',Travel-Hotels & Lodging
02/12/2025,AUTO HIRE SERVICES BOSTON MA,SAMPLE MEMBER,-99999,212.40,"98765432108 800-555-4300 AUTO HIRE SERVICES BOSTON MA 800-555-4300",AUTO HIRE SERVICES BOSTON MA,"890 RENTAL RD","BOSTON MA",02201,UNITED STATES,'987654321098765409',Travel-Car Rental
02/15/2025,PRODUCTIVITY*SUITE BILLSITE.INFOWA,SAMPLE MEMBER,-99999,15.99,"98765432109 PRODUCTIVITY*SUITE BILLSITE.INFO WA",PRODUCTIVITY*SUITE BILLSITE.INFOWA,,,98003,UNITED STATES,'987654321098765410',Software & Technology
02/18/2025,CREATIVE APPS BUNDLE 408-555-4400CA,SAMPLE MEMBER,-99999,43.99,"98765432110 408-555-4400 CREATIVE APPS BUNDLE 408-555-4400 CA 408-555-4400",CREATIVE APPS BUNDLE 408-555-4400CA,,,95001,UNITED STATES,'987654321098765411',Software & Technology
02/22/2025,PROFESSIONAL NET 650-555-4500 CA,SAMPLE MEMBER,-99999,39.99,"98765432111 650-555-4500 PROFESSIONAL NET 650-555-4500 CA 650-555-4500",PROFESSIONAL NET 650-555-4500 CA,,,94002,UNITED STATES,'987654321098765412',Advertising
02/25/2025,CLOUD COMPUTING cloudpro.comWA,SAMPLE MEMBER,-99999,231.80,"98765432112 CLOUD COMPUTING cloudpro.com WA",CLOUD COMPUTING cloudpro.comWA,,,98004,UNITED STATES,'987654321098765413',Software & Technology
02/28/2025,OFFICE WAREHOUSE 800-555-4600MA,SAMPLE MEMBER,-99999,149.15,"98765432113 800-555-4600 OFFICE WAREHOUSE 800-555-4600 MA 800-555-4600",OFFICE WAREHOUSE 800-555-4600MA,,,02002,UNITED STATES,'987654321098765414',Merchandise & Supplies-Office Supplies
03/05/2025,BUSINESS PROTECT INS 800-555-4700IL,SAMPLE MEMBER,-99999,236.00,"98765432114 800-555-4700 BUSINESS PROTECT INS 800-555-4700 IL 800-555-4700",BUSINESS PROTECT INS 800-555-4700IL,,,60001,UNITED STATES,'987654321098765415',Insurance
03/10/2025,TELECOM*BUSINESS 800-555-4800 TX,SAMPLE MEMBER,-99999,102.30,"98765432115 800-555-4800 TELECOM*BUSINESS 800-555-4800 TX 800-555-4800",TELECOM*BUSINESS 800-555-4800 TX,,,75003,UNITED STATES,'987654321098765416',Utilities
03/15/2025,MUNICIPAL POWER 617-555-4900 MA,SAMPLE MEMBER,-99999,172.40,"98765432116 617-555-4900 MUNICIPAL POWER 617-555-4900 MA 617-555-4900",MUNICIPAL POWER 617-555-4900 MA,"123 UTILITY WAY","BOSTON MA",02109,UNITED STATES,'987654321098765417',Utilities
03/18/2025,SKILLSHARE PRO 415-555-5000 CA,SAMPLE MEMBER,-99999,159.00,"98765432117 415-555-5000 SKILLSHARE PRO 415-555-5000 CA 415-555-5000",SKILLSHARE PRO 415-555-5000 CA,,,94004,UNITED STATES,'987654321098765418',Education
03/22/2025,COMMERCIAL CLEAN CO BOSTON MA,SAMPLE MEMBER,-99999,52.00,"98765432118 617-555-5100 COMMERCIAL CLEAN CO BOSTON MA 617-555-5100",COMMERCIAL CLEAN CO BOSTON MA,"234 SERVICE LN","BOSTON MA",02110,UNITED STATES,'987654321098765419',Services
03/25/2025,ORGANIC MARKET #9876 BOSTON MA,SAMPLE MEMBER,-99999,127.10,"98765432119 617-555-5200 ORGANIC MARKET #9876 BOSTON MA 617-555-5200",ORGANIC MARKET #9876 BOSTON MA,"345 FRESH AVE","BOSTON MA",02111,UNITED STATES,'987654321098765420',Merchandise & Supplies-Supermarket
