Description,,,,Summary Amt.
Total credits,,,,"-11875.25"
Total debits,,,,"12456.80"

CardHolder Name,Account/Card Number - last 4 digits,Posting Date,Trans. Date,Reference ID,Description,Amount,MCC,Merchant Category,Transaction Type,Expense Category
SAMPLE CARDHOLDER,5678,01/15/2025,01/14/2025,Ref: 98765432109876543210001,"RESTAURANT CHAIN #9876","38.25",5812,"EATING PLACES, RESTAURANTS",D,Meals
SAMPLE CARDHOLDER,5678,01/18/2025,01/17/2025,Ref: 98765432109876543210002,"FAST FOOD PLACE #5432","26.80",5814,"EXPRESS PAYMENT SERVICE MERCHANTS--FAST FOOD",D,Meals
SAMPLE CARDHOLDER,5678,01/22/2025,01/21/2025,Ref: 98765432109876543210003,"CASUAL DINING RESTAURANT","71.50",5812,"EATING PLACES, RESTAURANTS",D,Meals
SAMPLE CARDHOLDER,5678,01/25/2025,01/24/2025,Ref: 98765432109876543210004,"SPORTS BAR & GRILL","48.75",5813,"DRINKING PLACES (ALCOHOLIC BEVERAGES)",D,Entertainment
SAMPLE CARDHOLDER,5678,01/28/2025,01/27/2025,Ref: 98765432109876543210005,"ORGANIC MARKET #789","118.90",5411,"GROCERY STORES, SUPERMARKETS",D,Supplies
SAMPLE CARDHOLDER,5678,02/02/2025,02/01/2025,Ref: 98765432109876543210006,"GAS STATION 87654321","47.60",5542,"AUTOMATED FUEL DISPENSERS",D,Auto
SAMPLE CARDHOLDER,5678,02/05/2025,02/04/2025,Ref: 98765432109876543210007,"SOFTWARE RETAILER ONLINE","198.00",5734,"COMPUTER SOFTWARE STORES",D,Software
SAMPLE CARDHOLDER,5678,02/10/2025,02/09/2025,Ref: 98765432109876543210008,"BUSINESS SUPPLY WAREHOUSE","152.75",5943,"STATIONERY, OFFICE SUPPLIES, PRINTING",D,Office
SAMPLE CARDHOLDER,5678,02/15/2025,02/14/2025,Ref: 98765432109876543210009,"AIRPORT PARKING STRUCTURE B","36.50",7523,"AUTOMOBILE PARKING LOTS AND GARAGES",D,Parking
SAMPLE CARDHOLDER,5678,02/18/2025,02/17/2025,Ref: 98765432109876543210010,"BUDGET AIRLINES 009876543","395.00",3001,"AIRLINES",D,Travel
SAMPLE CARDHOLDER,5678,02/20/2025,02/19/2025,Ref: 98765432109876543210011,"BUSINESS HOTEL CHAIN","268.90",7011,"HOTELS, MOTELS, AND RESORTS",D,Travel
SAMPLE CARDHOLDER,5678,02/25/2025,02/24/2025,Ref: 98765432109876543210012,"AUTO RENTAL COMPANY","156.25",7512,"CAR RENTAL AGENCIES",D,Travel
SAMPLE CARDHOLDER,5678,02/28/2025,02/27/2025,Ref: 98765432109876543210013,"PROFESSIONAL NETWORK SERVICE","39.99",7399,"MISCELLANEOUS BUSINESS SERVICES",D,Advertising
SAMPLE CARDHOLDER,5678,03/05/2025,03/04/2025,Ref: 98765432109876543210014,"ONLINE ADVERTISING PLATFORM","540.00",7311,"ADVERTISING SERVICES",D,Advertising
SAMPLE CARDHOLDER,5678,03/08/2025,03/07/2025,Ref: 98765432109876543210015,"LAW FIRM & ASSOCIATES","680.00",8111,"PROFESSIONAL SERVICES",D,Legal
SAMPLE CARDHOLDER,5678,03/12/2025,03/11/2025,Ref: 98765432109876543210016,"BUSINESS INSURANCE CORP","236.00",6300,"INSURANCE SALES, UNDERWRITING, AND PREMIUMS",D,Insurance
SAMPLE CARDHOLDER,5678,03/15/2025,03/14/2025,Ref: 98765432109876543210017,"TELECOM BUSINESS SERVICES","102.50",4814,"TELECOMMUNICATION SERVICES",D,Utilities
SAMPLE CARDHOLDER,5678,03/18/2025,03/17/2025,Ref: 98765432109876543210018,"MUNICIPAL UTILITIES SERVICE","172.40",4900,"UTILITIES-ELECTRIC, GAS, WATER, SANITARY",D,Utilities
SAMPLE CARDHOLDER,5678,03/22/2025,03/21/2025,Ref: 98765432109876543210019,"BOOKSTORE & CAFE #5678","62.80",5942,"BOOK STORES",D,Education
SAMPLE CARDHOLDER,5678,03/25/2025,03/24/2025,Ref: 98765432109876543210020,"ONLINE LEARNING PLATFORM","159.00",8299,"CONTINUING EDUCATION SERVICES",D,Education
SAMPLE CARDHOLDER,5678,03/28/2025,03/27/2025,Ref: 98765432109876543210021,"COMMERCIAL CLEANING SERVICE","52.00",7210,"LAUNDRY, CLEANING SERVICES",D,Cleaning
